Date,SP500_Return,VIX,Yield_Spread,Regime_GMM,Regime_label
2014-06-13,-0.3439896943296703,-0.9179663055248828,1.242451538529587,1,Calm
2014-06-20,0.505368215037902,-1.0811051696284435,1.2207479950932163,1,Calm
2014-06-27,-0.1015499643713167,-1.0308142574281904,1.177340908220475,1,Calm
2014-07-04,0.4518237485853635,-1.146115481623443,1.2207479950932163,1,Calm
2014-07-11,-0.435217995326368,-0.9302324330276834,1.1339338213477343,1,Calm
2014-07-18,0.1619752165214519,-0.932685588341167,1.0688231910386232,1,Calm
2014-07-25,-0.0587765618026901,-0.8554093828002898,1.0254161041658822,1,Calm
2014-08-01,-1.1884758545569427,-0.3230613442298027,1.1339338213477343,1,Calm
2014-08-08,0.0768346115459878,-0.4776139892684801,1.0688231910386232,1,Calm
2014-08-15,0.4382184798022793,-0.7989854068486361,0.9928607890113266,1,Calm
2014-08-22,0.6380607988633317,-1.0050554832550775,0.9386019304204006,1,Calm
2014-08-29,0.2489217413114732,-0.9290057968817113,0.9386019304204006,1,Calm
2014-09-05,0.028214001336472,-0.9290057968817113,1.014564332447697,1,Calm
2014-09-12,-0.5205214761713459,-0.779359579448462,1.1230820496295495,1,Calm
2014-09-19,0.4533287434260535,-0.926552641568228,1.0796749627568083,1,Calm
2014-09-26,-0.6319706807905555,-0.5904619411717877,1.0254161041658822,1,Calm
2014-10-03,-0.3742938686120151,-0.6272602067017294,0.9494537021385856,1,Calm
2014-10-10,-1.380287701881775,0.1933405414215047,0.9277501587022154,2,Transitional
2014-10-17,-0.4837174832677394,0.2853361467571277,0.8951948435476597,1,Calm
2014-10-24,1.6103143082116749,-0.4359092961331106,0.9494537021385856,2,Transitional
2014-10-31,1.049323626002654,-0.6910438825507561,0.91689838698403,1,Calm
2014-11-07,0.2219976125862966,-0.8026651983080916,0.8734913001112893,1,Calm
2014-11-14,0.0992004677061922,-0.779359579448462,0.8409359849567335,1,Calm
2014-11-21,0.4160749545869871,-0.829650608627177,0.8409359849567335,1,Calm
2014-11-28,0.020010004387274,-0.7769064241349785,0.7649735829294368,1,Calm
2014-12-05,0.0946489420534076,-0.953537934908852,0.7107147243385107,1,Calm
2014-12-12,-1.5430761981712338,0.1737148309997923,0.5804934637202881,0,Stressful
2014-12-19,1.3263331659397886,-0.3892982923707742,0.5370863768475472,1,Calm
2014-12-26,0.2990652104928964,-0.6333932704531299,0.5587899202839177,1,Calm
2015-01-02,-0.6710571547146178,-0.2298391027482074,0.4936792899748062,1,Calm
2015-01-09,-0.331226992481596,-0.2592779023376987,0.4177168879475096,1,Calm
2015-01-16,-0.5780398272410789,0.157769029015997,0.3634580293565836,1,Calm
2015-01-23,0.59701173720535,-0.3684459458030895,0.3091991707656575,1,Calm
2015-01-30,-1.222969286130381,0.160222067351019,0.2223849970201756,0,Stressful
2015-02-06,1.1739043991685207,-0.2911695063052894,0.3200509424838427,1,Calm
2015-02-13,0.7658197424110932,-0.6100877685719617,0.3851615727929541,1,Calm
2015-02-20,0.2003962866724054,-0.6579254084802704,0.4936792899748062,1,Calm
2015-02-27,-0.1751131829748949,-0.7756797879890063,0.3960133445111394,1,Calm
2015-03-06,-0.7197439741188274,-0.5475307288689073,0.5479381485657324,1,Calm
2015-03-13,-0.4194580810256597,-0.4494020597818838,0.482827518256621,1,Calm
2015-03-20,1.0260364596497007,-0.8149312088324311,0.3526062576383985,1,Calm
2015-03-27,-0.995410824928542,-0.5634766478311638,0.3960133445111394,1,Calm
2015-04-03,0.0577399922080307,-0.6125409238854453,0.3851615727929541,1,Calm
2015-04-10,0.6351466931571553,-0.8689020294706015,0.4177168879475096,1,Calm
2015-04-17,-0.4741596653956972,-0.7082163206805239,0.3851615727929541,1,Calm
2015-04-24,0.6579725078240054,-0.9044736588545708,0.4177168879475096,1,Calm
2015-05-01,-0.245273708941741,-0.8541827466543174,0.5587899202839177,1,Calm
2015-05-08,0.091642018258931,-0.8345570362326049,0.6130487788748439,1,Calm
2015-05-15,0.0680909475959259,-0.8934341674977422,0.6347523223112144,1,Calm
2015-05-22,0.0035458748119451,-0.9240993692762832,0.6130487788748439,1,Calm
2015-05-29,-0.4260816726602647,-0.7143493844319243,0.5479381485657324,1,Calm
2015-06-05,-0.348019476949562,-0.668964899837099,0.7324182677748812,1,Calm
2015-06-12,-0.0359970513597745,-0.7217090843292971,0.6998629526203255,1,Calm
2015-06-19,0.2511574754860882,-0.69963010161564,0.6564558657475847,1,Calm
2015-06-26,-0.2282322904868952,-0.6922704017182671,0.8300842132385483,1,Calm
2015-07-03,-0.5504719449748025,-0.3524999098623714,0.819232441520363,1,Calm
2015-07-10,-0.064469933418288,-0.3475935992354046,0.8300842132385483,1,Calm
2015-07-17,0.923111232096854,-0.9461783519899404,0.7107147243385107,1,Calm
2015-07-24,-0.9853837505367654,-0.7266155119347253,0.6130487788748439,1,Calm
2015-07-31,0.417013662536215,-0.9253260054222556,0.5696416920021029,1,Calm
